,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
8305,4862 CAMBRIDGE STREET,2333625,0,0,0,0,1,1,1,0,0,0,0,0,0,2421,4026,1994,2,1,3,4,1,3,0,0,49.2867012,-123.0297391,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1498000,1375000,567.95,1/18/2019,1/30/2019,12
8306,1 1530 TYNEBRIDGE LANE,2379417,0,0,0,0,0,0,0,0,0,1,0,1,0,1575,0,2003,2,1,4,3,0,3,0,0,50.084805,-123.0212936,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1399000,1375000,873.02,6/7/2019,6/14/2019,7
8307,5724 OWL COURT,2369212,0,1,1,1,0,1,1,0,0,1,0,0,0,2391,0,1984,2,1,4,3,0,3,0,0,49.3683747,-123.0978322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1399000,1375000,575.07,5/7/2019,5/23/2019,16
8308,2692 CARNATION STREET,2308321,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,8000,1973,8,2,4,3,0,3,0,0,49.3181133,-123.0015648,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1488000,1375000,561.68,9/19/2018,1/14/2019,117
8309,416 235 KEITH ROAD,2343397,0,1,0,0,0,0,0,0,0,1,1,1,0,490,0,1980,1,0,1,1,0,1,0,4,49.8188391,-119.4943428,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,429000,404545,825.6,2/26/2019,4/20/2019,53
8310,6907 BUTLER STREET,2372354,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,5801,1950,3,1,2,2,0,2,0,0,49.2145992,-123.0332732,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1375000,763.89,5/20/2019,5/30/2019,10
8311,4149 CAMBRIDGE STREET,2346581,0,1,0,0,0,0,1,1,0,0,0,0,0,2559,4026,1982,6,2,6,3,0,3,0,0,49.2867012,-123.0297391,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1388800,1378000,538.49,3/6/2019,04/10/2019,35
8312,5107 CAMBIE STREET,2346317,0,0,0,0,0,0,0,0,0,1,0,0,0,1287,0,2017,2,0,3,3,1,2,0,0,49.2650296,-123.1148599,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1499000,1378000,1070,3/6/2019,3/29/2019,23
8313,3585 SHEFFIELD AVENUE,2330101,0,0,0,0,0,0,0,0,1,0,0,0,0,2711,6127,2018,4,1,4,3,1,2,0,0,49.2979382,-122.7434151,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1485800,1379314,373.6,1/7/2019,2/27/2019,51
8314,49 FOXWOOD DRIVE,2359024,0,0,0,0,0,0,0,0,0,0,0,0,0,4169,6420,1992,5,2,7,4,0,4,0,0,49.294984,-122.8398199,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399900,1379800,330.97,4/15/2019,6/13/2019,59
8315,3315 CHAUCER AVENUE,2332583,0,0,0,0,0,0,0,0,0,0,0,0,0,2416,7251,1973,6,2,4,4,1,3,0,0,49.3369603,-123.0451234,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1449000,1380000,565.34,1/15/2019,03/05/2019,49
8316,623 CLEARWATER WAY,2318197,0,0,0,0,0,0,1,0,0,0,0,0,0,4501,7035,1988,4,2,6,5,2,3,0,0,49.2567691,-122.8086778,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1438000,1380000,306.6,10/25/2018,3/25/2019,151
8317,410 W 27TH STREET,2300533,0,1,0,0,0,1,0,0,0,0,0,0,0,2419,6100,1955,2,1,3,3,0,3,0,0,49.3344908,-123.0819225,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499900,1380000,570.48,9/5/2018,2/21/2019,169
8318,10400 HALL AVENUE,2336496,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,4822,1998,2,2,5,5,1,4,0,0,49.2197438,-122.9549092,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1448000,1380000,526.92,1/29/2019,04/12/2019,73
8319,2175 GUELPH STREET,2353023,0,0,0,0,0,1,1,0,1,0,0,0,0,1433,0,2017,1,0,3,3,0,3,0,0,49.2597652,-123.0949783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1398000,1380000,963.01,3/28/2019,04/02/2019,5
8320,105 3250 ST JOHNS STREET,2330128,0,0,1,1,0,0,0,1,0,1,1,1,1,647,0,2007,1,1,1,1,0,1,0,1,49.2766073,-122.8501674,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,435000,405000,625.97,1/7/2019,1/27/2019,20
8321,7318 MCKAY AVENUE,2325779,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,4862,2005,3,1,4,4,1,3,0,0,49.2307539,-123.0013369,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1490000,1380000,637.71,11/26/2018,03/12/2019,106
8322,5006 MONCTON STREET,2372937,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,7108,1988,0,2,4,3,1,2,0,0,49.1251738,-123.1834547,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1380000,579.35,5/22/2019,5/27/2019,5
8323,6972 BUTLER STREET,2368712,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,5346,1950,0,1,3,2,1,1,0,0,49.2145992,-123.0332732,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1498800,1380000,770.09,5/9/2019,5/14/2019,5
8324,3295 E 27TH AVENUE,2367024,0,1,0,0,0,0,0,0,0,0,0,0,0,2884,4800,1992,2,2,6,5,1,4,0,0,49.2462453,-123.0415104,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1380000,478.5,5/7/2019,5/28/2019,21
8325,2677 E 23RD AVENUE,2367264,0,1,0,0,0,0,0,0,0,0,0,0,0,2076,5040,1954,2,1,5,2,0,2,0,0,49.2499364,-123.0794235,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1498000,1380000,664.74,5/1/2019,5/15/2019,14
8326,2549 LAURALYNN DRIVE,2369180,0,0,0,0,0,0,1,1,0,0,0,0,0,2420,7700,1958,4,2,4,2,0,2,0,0,49.3317822,-123.0317133,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1385000,1380000,570.25,5/13/2019,5/31/2019,18
8327,1033 E 40TH AVENUE,2328449,0,1,0,0,0,0,0,0,0,0,0,0,0,2159,4306,1975,1,2,3,2,1,1,0,0,49.2338657,-123.0509581,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1498000,1380000,534.68,12/16/2018,2/24/2019,70
8328,38610 WESTWAY AVENUE,2344159,0,0,0,0,0,0,1,1,0,0,0,0,0,4020,11194,2012,6,2,6,5,0,5,0,0,49.70713299,-123.1155577,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1380000,343.28,2/28/2019,04/05/2019,36
8329,3518 BELLA-VISTA STREET,2361215,0,0,0,0,0,1,1,1,1,0,0,0,0,1360,2916,1910,1,1,3,2,0,2,0,0,49.2537121,-123.0704764,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399900,1384000,592.47,4/23/2019,4/30/2019,7
8330,1850 E 16TH AVENUE,2331525,0,0,0,0,1,1,1,0,1,0,0,0,0,1456,0,2018,1,1,3,4,1,3,0,0,49.2566037,-123.1032327,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1329000,1385000,951.24,1/10/2019,01/11/2019,1
8331,126 8460 LANSDOWNE ROAD,2352805,0,0,0,0,0,0,0,1,0,0,1,1,0,911,0,1982,1,0,2,1,0,1,0,1,49.17315625,-123.1302517,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,415000,405000,444.57,3/27/2019,04/08/2019,12
8332,726 E 4TH STREET,2340355,0,1,0,0,0,1,0,1,0,0,0,0,0,2575,6850,1929,2,0,4,2,0,2,0,0,49.309649,-123.0559534,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1468990,1385000,537.86,2/12/2019,3/30/2019,46
8333,2011 VENABLES STREET,2342560,0,0,0,0,0,0,1,0,0,0,0,0,0,1804,4026,1946,2,0,4,2,0,2,0,0,49.2766521,-123.0838086,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1390000,1385000,767.74,2/19/2019,2/24/2019,5
8334,404 1625 MANITOBA STREET,2310552,0,0,0,0,1,1,1,0,0,0,1,1,0,1193,0,2010,1,0,2,2,0,2,0,4,49.2318273,-123.1081791,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1398000,1385000,1160,9/27/2018,02/03/2019,129
8335,865 CALVERHALL STREET,2323098,0,0,0,0,1,0,0,0,0,0,0,0,0,2611,7000,1954,3,2,3,2,0,2,0,0,49.3154049,-123.0472102,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1478000,1385000,530.45,11/15/2018,1/14/2019,60
8336,1479 MARGUERITE STREET,2334713,0,0,0,0,0,0,0,0,0,0,0,0,0,3873,5279,2009,4,1,6,4,1,3,0,0,49.2357095,-123.1446809,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1488800,1385000,357.6,1/22/2019,2/23/2019,32
8337,1069 JAY CRESCENT,2354480,0,0,0,0,1,0,1,0,0,0,0,0,0,3536,7498,2006,4,2,5,4,1,3,0,0,49.2028631,-122.8065279,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1445000,1385000,391.69,4/1/2019,05/03/2019,32
8338,204 2455 BELLEVUE AVENUE,2291100,0,0,0,0,1,0,0,1,0,1,0,1,0,1442,0,1985,0,1,2,2,0,2,0,2,49.2718674,-122.8320352,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1479000,1385000,960.47,7/16/2018,05/02/2019,290
8339,342 FENTON STREET,2334257,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,4823,2018,6,1,6,5,0,5,0,0,49.191799,-122.936793,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1474800,1387000,462.33,1/19/2019,06/01/2019,133
8340,8328 16TH AVENUE,2356195,0,0,0,0,0,0,0,0,0,0,0,0,0,2756,4593,2008,3,1,5,4,1,3,0,0,49.22957175,-122.9221189,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399000,1388000,503.63,4/1/2019,4/28/2019,27
8341,1122 IOCO ROAD,2346986,0,0,0,0,1,0,0,0,0,0,0,0,0,2991,7494,1980,3,1,4,3,0,3,0,0,49.3024611,-122.8715781,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1388000,1388000,417.57,3/8/2019,03/12/2019,4
8342,101 5500 ARCADIA ROAD,2329829,0,0,0,0,0,0,0,0,0,0,0,1,1,963,0,1989,1,1,2,2,0,2,0,1,49.17267465,-123.1256383,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,439000,405000,420.56,1/3/2019,3/16/2019,72
8343,4652 DARWIN AVENUE,2310175,0,0,0,0,0,0,0,0,0,0,0,0,0,2150,4588,2012,4,1,5,4,1,3,0,0,49.2447371,-123.0083685,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499999,1388000,645.58,9/24/2018,4/24/2019,212
8344,2207 TANAGER PLACE,2335321,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,12079,1985,5,3,3,3,0,3,0,0,49.4336738,-123.6556437,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1388000,1388000,522.79,1/22/2019,1/31/2019,9
8345,2517 WILLIAM STREET,2361017,0,0,0,0,0,0,1,0,0,0,0,0,0,1747,3564,1927,1,1,4,2,0,2,0,0,49.274227,-123.081435,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1389000,1389000,795.08,4/22/2019,4/26/2019,4
8346,322 BOYNE STREET,2346161,0,0,0,0,0,0,0,0,0,0,0,0,0,3511,6513,2011,0,1,8,6,1,5,0,0,49.19102435,-122.9396701,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1449000,1390000,395.9,3/5/2019,3/26/2019,21
8347,401 2071 W 42ND AVENUE,2358228,1,1,1,1,0,0,1,1,0,1,0,1,0,1515,0,2001,2,1,2,2,0,2,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1398000,1390000,917.49,4/11/2019,4/16/2019,5
8348,317 456 MOBERLY ROAD,2343490,0,1,1,1,1,1,1,1,0,1,0,1,0,1244,0,1990,2,0,2,2,0,2,0,3,49.26870915,-123.1176033,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1399900,1390000,1117,2/26/2019,03/07/2019,9
8349,5025 IRMIN STREET,2367509,0,0,0,0,0,0,0,0,0,0,0,0,0,1983,8236,2010,2,1,4,4,1,3,0,0,49.2157327,-123.0124097,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1449900,1390000,700.96,5/6/2019,5/17/2019,11
8350,4560 RAMSAY ROAD,2347353,0,0,0,0,0,0,0,0,0,0,0,0,0,2190,8850,1961,2,2,4,3,0,3,0,0,50.2305018,-119.3531667,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1449900,1390000,634.7,3/11/2019,5/16/2019,66
8351,1608 168 W 1ST AVENUE,2332294,1,0,0,0,1,1,1,1,1,1,0,0,0,1105,0,2013,1,0,2,2,0,2,0,16,49.2706731,-123.1456511,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1425000,1390000,1257,1/15/2019,1/22/2019,7
8352,652 BAY ROAD,2340653,0,0,0,0,1,0,0,1,0,0,0,0,0,1613,4849,1950,0,1,3,2,0,2,0,0,54.0190488,-123.1275311,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1390000,861.75,2/13/2019,2/15/2019,2
8353,102 3128 FLINT STREET,2347343,0,1,1,0,0,0,0,0,0,1,0,1,0,914,0,1995,0,1,2,2,0,2,0,1,52.9527635,-122.4441028,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,428800,405000,443.11,3/11/2019,04/09/2019,29
8354,2347 ST. CATHERINES STREET,2350232,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,3069,1912,0,0,2,3,0,3,0,0,49.2328448,-123.0869162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1399000,1390000,550.93,3/19/2019,04/09/2019,21
8355,5665 WESTPORT ROAD,2355316,0,1,0,0,1,0,1,1,0,0,0,0,0,2000,67823,0,0,0,2,0,0,0,0,0,49.351675,-123.2479606,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1390000,695,4/3/2019,04/12/2019,9
8356,3835 CLINTON STREET,2361241,0,0,0,0,0,0,0,0,0,0,0,0,0,2063,8400,1950,0,2,5,2,2,0,0,0,49.2129891,-122.9802239,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1490000,1390000,673.78,4/17/2019,4/27/2019,10
8357,7421 EDNOR CRESCENT,2371303,0,1,0,0,0,0,0,0,0,0,0,0,0,3789,7268,1980,4,3,5,3,0,3,0,0,49.2718552,-122.9491335,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1288000,1390000,332.46,5/21/2019,5/27/2019,6
8358,4708 WESTLAWN DRIVE,2361886,0,0,0,0,0,0,0,1,0,0,0,0,0,2186,6705,1958,2,2,3,2,1,1,0,0,49.2743522,-122.9973362,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1390000,480.64,4/23/2019,5/13/2019,20
8359,2254 E 34TH AVENUE,2351365,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,4026,1962,1,0,5,3,1,2,0,0,49.2388874,-123.0548328,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1468000,1392000,625.34,3/22/2019,3/22/2019,0
8360,52 W 16TH AVENUE,2361817,0,0,1,1,0,0,1,1,0,0,0,1,0,1308,0,1986,1,1,3,2,0,2,0,0,49.25639195,-123.1060368,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1399000,1395000,696.8,4/23/2019,4/26/2019,3
8361,1190 PRAIRIE AVENUE,2359993,0,0,0,0,0,0,0,0,0,0,0,0,0,4106,8241,2015,6,1,7,6,0,6,0,0,49.2711847,-122.7562163,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1395000,339.75,4/16/2019,05/06/2019,20
8362,2519 CHANNEL COURT,2361334,0,1,0,0,0,0,0,1,0,0,0,0,0,2639,7008,1973,5,1,5,3,0,3,0,0,49.274849,-122.8223154,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399000,1395000,528.61,4/23/2019,4/27/2019,4
8363,413 WILSON STREET,2330996,0,0,0,0,1,0,1,0,0,0,0,0,0,2574,5085,2016,4,1,4,5,0,5,0,0,54.00857688,-132.1308173,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1558000,1395000,541.96,1/9/2019,1/21/2019,12
8364,8 22128 DEWDNEY TRUNK ROAD,2366824,0,1,1,1,0,0,0,0,0,0,0,1,0,1214,0,1989,1,1,2,2,0,2,0,0,49.2200124,-122.4581903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,419900,405000,333.61,5/7/2019,05/11/2019,4
8365,3973 MOUNTAIN HIGHWAY,2332501,0,0,0,0,0,0,0,0,0,0,0,0,0,2593,6490,1973,6,2,4,3,1,2,0,0,49.3169988,-123.0361707,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1548000,1395000,537.99,1/15/2019,02/04/2019,20
8366,4266 CARLETON AVENUE,2337565,0,0,0,0,0,0,0,0,1,0,0,0,0,2200,6000,2014,3,1,5,4,0,4,0,0,49.2451016,-123.012549,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1488000,1395000,634.09,2/1/2019,2/18/2019,17
8367,4306 WINDSOR STREET,2358974,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,3795,1957,0,2,4,2,0,2,0,0,49.24648995,-123.0836163,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1398000,1395000,674.24,4/15/2019,4/23/2019,8
8368,4771 ALBERT STREET,2338525,0,0,0,0,0,0,0,0,1,0,0,0,0,2204,4026,2005,3,1,7,4,0,4,0,0,49.2820337,-123.0209511,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1498000,1395000,632.94,2/5/2019,2/21/2019,16
8369,906 2988 ALDER STREET,2363542,0,0,0,0,1,1,1,1,0,1,0,0,0,1265,0,1992,2,1,2,2,0,2,0,9,49.2590638,-123.130265,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1398000,1398000,1105,4/29/2019,05/03/2019,4
8370,2305 5628 BIRNEY AVENUE,2353887,0,0,0,0,0,0,0,0,0,0,0,1,0,925,0,2017,2,0,2,2,0,2,0,23,49.2528871,-123.2368781,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1480000,1398000,1511,4/1/2019,4/15/2019,14
8371,1 244 E 5TH STREET,2345449,0,0,1,1,1,1,0,1,0,1,0,1,0,1434,0,2018,2,1,3,3,1,2,0,0,49.3132212,-123.070493,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1398000,1398000,782.75,3/4/2019,4/22/2019,49
8372,4518 CLINTON STREET,2348922,0,1,0,0,0,0,0,0,0,0,0,0,0,3738,6693,1958,4,2,5,4,1,3,0,0,49.2129891,-122.9802239,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1539000,1398000,374,3/12/2019,06/07/2019,87
8373,1321 COLEMAN STREET,2375314,0,1,0,0,0,0,0,0,0,0,0,0,0,2215,8640,1965,3,2,4,3,2,1,0,0,49.4613534,-119.5923473,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1398000,1398000,631.15,5/30/2019,5/30/2019,0
8374,1304 5410 SHORTCUT ROAD,2376884,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,2021,0,0,1,2,0,2,2,13,50.7894751,-119.7229751,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1398800,1398800,1483,5/29/2019,5/29/2019,0
8375,804 2016 FULLERTON AVENUE,2329931,0,1,0,0,1,0,1,0,0,0,1,1,0,712,0,1973,1,0,1,1,0,1,0,8,48.4343873,-123.3894757,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,420000,405000,568.82,1/7/2019,2/25/2019,49
8376,4751 PANDORA STREET,2359627,0,0,0,0,0,1,0,1,0,0,0,0,0,2155,4026,1994,2,2,4,3,0,3,0,0,49.2830311,-123.0655448,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1398800,1398800,649.1,4/16/2019,5/14/2019,28
8377,4589 PARKER STREET,2326745,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,8052,1952,8,2,4,2,0,2,0,0,49.2757144,-123.0638014,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1699000,1399000,559.6,12/4/2018,1/30/2019,57
8378,263 E 32ND AVENUE,2373596,0,1,0,0,1,0,1,1,0,0,0,0,0,1488,3588,1910,0,0,3,2,0,2,0,0,49.0600892,-122.7853106,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1449900,1399000,940.19,5/27/2019,06/02/2019,6
8379,1586 E 11TH AVENUE,2343494,0,0,1,1,0,0,0,0,0,0,0,0,0,1688,0,2009,3,1,3,4,1,3,0,0,49.2606102,-123.0877569,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1350000,1400000,829.38,2/26/2019,03/03/2019,5
8380,1728 COTTON DRIVE,2370304,0,0,0,0,0,1,1,1,0,0,0,0,0,1649,0,2019,2,1,3,3,1,2,0,0,49.2762216,-123.0714238,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1498000,1400000,849,5/15/2019,5/22/2019,7
8381,402 1859 SPYGLASS PLACE,2353675,0,1,1,1,1,0,0,1,1,1,1,1,1,1171,0,1989,1,1,2,2,0,2,0,4,49.26954275,-123.1159453,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1395000,1400000,1195,4/1/2019,04/02/2019,1
8382,4053 HIGHLAND BOULEVARD,2376946,0,1,0,0,0,0,0,0,0,0,0,0,0,1539,9260,1956,4,2,3,1,0,1,0,0,49.1983581,-123.9844315,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1200000,1400000,909.68,6/4/2019,06/08/2019,4
8383,3405 DEVONSHIRE AVENUE,2349874,0,0,0,0,0,1,0,0,0,0,0,0,0,3660,5411,2013,2,1,5,4,1,3,0,0,49.8816521,-119.4731375,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1549000,1400000,382.51,3/15/2019,04/06/2019,22
8384,898 E 11TH STREET,2347960,0,0,0,0,0,0,0,0,0,0,0,0,0,1959,8967,1964,5,2,4,2,0,2,0,0,49.3177509,-123.0600893,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1499000,1400000,714.65,3/12/2019,5/29/2019,78
8385,1025 SUTHERLAND AVENUE,2316572,0,1,0,0,0,0,0,0,0,0,0,0,0,2381,6013,1972,2,2,4,3,0,3,0,0,49.31706295,-123.0550746,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1399000,1400000,587.99,10/18/2018,1/29/2019,103
