,Address,MLS No,Penthouse,Renovation,Cats,Dogs,Ocean View,City View,Mountain View,Park View,Balcony,Storage,Pool,Laundry,Gym,Finished Floor,Lot Size,Year Built,Parking Space,Fireplace,Bedrooms,Total Bathrooms,Half Baths,Full Baths,Waiting Period,Floor,Latitude,Longitude,Land Only,Multifamily,Residential Attached,Residential Detached,Residential Detached,1/2 Duplex,Apartment/Condo,Duplex,Other,Other,Recreational,Residential Detached,Residential Detached,Row House (Non-Strata),Townhouse,Triplex,First Nations Lease,Freehold NonStrata,Freehold Strata,Leasehold not prepaid-NonStrata,Leasehold not prepaid-Strata,Leasehold prepaid-NonStrata,Leasehold prepaid-Strata,Other,Other,Shares in Co-operative,Undivided Interest,List Price,Sold Price,Sold Price per SqFt,List Date,Sold Date,Days on Market
37,4388 OSLER STREET,2353632,0,0,0,0,0,0,0,0,0,0,0,0,0,5011,7200,2017,0,1,6,7,1,6,0,0,49.204948,-123.1317403,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8680000,6500000,1297,4/1/2019,5/24/2019,53
38,1075 GROVELAND ROAD,2312081,0,0,0,0,0,0,0,1,0,0,0,0,0,8343,22485,2009,6,4,6,8,2,6,0,0,49.3516776,-123.1451366,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10888000,6600000,791.08,10/1/2018,06/05/2019,247
39,5869 HUDSON STREET,2290981,0,0,0,0,0,0,0,0,0,0,0,0,0,5231,8856,2016,5,4,5,7,1,6,0,0,49.2074638,-123.1346318,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7380000,6700000,1280,7/18/2018,3/21/2019,246
40,1591 CHARTWELL DRIVE,2333672,0,1,0,0,1,1,0,0,0,0,0,0,0,4854,16732,1980,6,1,5,5,1,4,0,0,49.1604704,-122.8204432,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6980000,6780000,1396,1/18/2019,03/01/2019,42
41,1132 HILLSIDE ROAD,2312232,0,0,0,0,1,1,0,1,0,0,0,0,0,8063,25526,1996,5,4,6,8,2,6,0,0,50.1944042,-120.4678672,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8380000,6800000,843.36,10/3/2018,3/26/2019,174
42,1532 CHIPPENDALE COURT,2296550,0,0,0,0,0,0,0,0,0,0,0,0,0,5853,13143,2015,4,5,4,5,0,5,0,0,49.3494299,-123.1661737,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8480000,6900000,1095,8/10/2018,3/15/2019,217
43,4379 ERWIN DRIVE,2319996,0,0,0,0,1,1,0,0,0,0,0,0,0,6055,8191,1970,4,5,4,6,1,5,0,0,49.340099,-123.2388506,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10000000,7000000,1156,10/30/2018,6/13/2019,226
44,1417 CHARTWELL DRIVE,2354265,0,0,0,0,1,1,1,0,0,0,0,0,0,8163,14390,2017,3,3,5,7,1,6,0,0,49.1604704,-122.8204432,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8888000,7000000,857.53,4/2/2019,04/10/2019,8
45,915 GROVELAND DRIVE,2337671,0,0,0,0,1,1,1,0,0,0,0,0,0,6603,19017,2009,3,4,6,7,1,6,0,0,49.2447518,-124.0431863,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7880000,7080000,1072,2/1/2019,03/09/2019,36
46,1428 W KING EDWARD AVENUE,2333659,0,1,0,0,0,0,0,0,0,0,0,0,0,6167,14750,2017,4,2,6,6,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8978000,7100000,1151,1/17/2019,04/11/2019,84
